-2,0,-73,4.42
-2,-1,-73,4.44
-2,-1,-74,4.46
-2,-1,-75,4.48
-2,-1,-75,4.5
-2,-1,-76,4.52
-2,-1,-76,4.54
-2,-1,-76,4.56
-2,-1,-77,4.58
-2,-2,-78,4.6
-2,-2,-78,4.62
-2,-2,-78,4.64
-2,-2,-78,4.66
-2,-2,-79,4.68
-2,-3,-79,4.7
-2,-3,-80,4.72
-2,-3,-80,4.74
-2,-3,-80,4.76
-1,-3,-81,4.78
-1,-3,-81,4.8
-1,-3,-82,4.82
-1,-3,-82,4.84
-1,-3,-82,4.86
-1,-3,-83,4.88
-1,-2,-83,4.9
-1,-2,-84,4.92
-1,-1,-85,4.94
0,-1,-85,4.96
0,-1,-85,4.98
0,-1,-85,5
0,-1,-86,5.02
0,-1,-86,5.04
0,-1,-86,5.06
0,-2,-87,5.08
0,-2,-87,5.1
0,-2,-88,5.12
0,-3,-88,5.14
0,-3,-88,5.16
0,-3,-88,5.18
0,-4,-88,5.2
0,-4,-88,5.22
0,-4,-88,5.24
0,-4,-88,5.26
0,-3,-88,5.28
0,-3,-89,5.3
0,-3,-89,5.32
0,-3,-89,5.34
0,-3,-89,5.36
0,-3,-89,5.38
0,-3,-89,5.4
0,-3,-89,5.42
0,-3,-89,5.44
0,-2,-89,5.46
0,-2,-89,5.48
0,-2,-89,5.5
0,-2,-89,5.52
0,-2,-89,5.54
0,-2,-89,5.56
0,-2,-89,5.58
0,-2,-89,5.6
0,-2,-89,5.62
0,-2,-89,5.64
0,-2,-89,5.66
0,-2,-89,5.68
0,-2,-89,5.7
0,-2,-89,5.72
0,-2,-89,5.74
0,-2,-89,5.76
0,-2,-89,5.78
0,-2,-89,5.8
0,-2,-89,5.82
0,-2,-89,5.84
0,-2,-89,5.86
0,-2,-89,5.88
0,-2,-88,5.9
0,-2,-88,5.92
0,-2,-88,5.94
0,-2,-88,5.96
0,-1,-87,5.98
0,-1,-87,6
0,-2,-86,6.02
0,-2,-85,6.04
0,-1,-84,6.06
0,-1,-84,6.08
0,-1,-83,6.1
0,-1,-82,6.12
-1,-1,-82,6.14
-1,-1,-80,6.16
-1,-2,-79,6.18
-1,-2,-78,6.2
-1,-2,-77,6.22
-1,-3,-76,6.24
-1,-3,-75,6.26
-2,-3,-74,6.28
-2,-3,-73,6.3
-2,-3,-72,6.32
-2,-3,-71,6.34
-2,-3,-72,6.36
-3,-4,-71,6.38
-3,-4,-70,6.4
-3,-4,-69,6.42
-3,-3,-68,6.44
-2,-3,-67,6.46
-2,-3,-67,6.48
-2,-3,-66,6.5
-2,-3,-66,6.52
-3,-2,-66,6.54
-3,-2,-66,6.56
-3,-2,-66,6.58
-3,-2,-65,6.6
-3,-2,-65,6.62
-3,-2,-65,6.64
-3,-2,-64,6.66
-3,-2,-64,6.68
-2,-2,-64,6.7
-2,-2,-62,6.72
-1,-3,-60,6.74
-1,-3,-58,6.76
-1,-4,-57,6.78
0,-4,-57,6.8
0,-5,-56,6.82
0,-5,-56,6.84
0,-5,-55,6.86
0,-5,-54,6.88
0,-5,-54,6.9
0,-4,-53,6.92
0,-4,-53,6.94
0,-4,-53,6.96
0,-4,-52,6.98
0,-3,-52,7
0,-3,-51,7.02
0,-3,-50,7.04
0,-2,-49,7.06
0,-2,-49,7.08
1,-2,-48,7.1
1,-2,-48,7.12
1,-1,-48,7.14
1,-1,-48,7.16
2,-1,-47,7.18
2,-1,-46,7.2
2,-1,-46,7.22
2,-1,-45,7.24
2,-1,-45,7.26
2,-1,-45,7.28
2,-1,-44,7.3
2,-1,-43,7.32
2,-2,-43,7.34
2,-2,-43,7.36
2,-2,-42,7.38
2,-2,-42,7.4
2,-2,-41,7.42
2,-2,-40,7.44
2,-2,-39,7.46
2,-2,-39,7.48
2,-2,-38,7.5
3,-2,-37,7.52
3,-1,-37,7.54
3,-1,-36,7.56
3,-1,-34,7.58
4,-1,-34,7.6
4,-1,-33,7.62
4,-1,-32,7.64
5,-1,-31,7.66
5,-1,-30,7.68
5,0,-29,7.7
5,0,-28,7.72
5,0,-27,7.74
5,0,-26,7.76
6,0,-25,7.78
6,0,-25,7.8
5,0,-24,7.82
5,0,-23,7.84
5,0,-22,7.86
5,0,-21,7.88
5,0,-21,7.9
6,0,-20,7.92
6,0,-20,7.94
6,0,-19,7.96
6,0,-19,7.98
6,0,-18,8
5,1,-18,8.02
5,1,-17,8.04
5,1,-16,8.06
5,1,-16,8.08
5,1,-15,8.1
4,1,-15,8.12
4,1,-14,8.14
4,0,-13,8.16
4,0,-13,8.18
4,0,-12,8.2
3,0,-12,8.22
3,0,-11,8.24
3,0,-10,8.26
2,0,-9,8.28
2,0,-9,8.3
2,0,-8,8.32
2,0,-7,8.34
2,0,-6,8.36
2,0,-5,8.38
2,-1,-4,8.4
1,0,-3,8.42
1,0,-2,8.44
1,0,-3,8.46
1,0,-3,8.48
1,-1,-3,8.5
1,0,-2,8.52
1,0,-2,8.54
1,0,-2,8.56
1,0,-2,8.58
1,0,-2,8.6
1,0,-3,8.62
1,0,-2,8.64
1,0,-2,8.66
1,0,-3,8.68
1,0,-1,8.7
0,0,0,8.72
0,0,0,8.74
0,0,0,8.76
0,0,0,8.78
0,0,0,8.8
1,1,0,8.82
2,0,0,8.84
2,0,0,8.86
3,0,0,8.88
4,0,1,8.9
5,-1,2,8.92
6,-1,3,8.94
6,0,4,8.96
6,0,4,8.98
7,0,5,9
7,0,6,9.02
7,0,9,9.04
7,0,10,9.06
7,1,11,9.08
6,0,14,9.1
6,0,16,9.12
