55,1.22
114,1.22
107,1.16
117,1.08
77,1.16
100,1.22
11,0.16
119,1.18
140,2.34
109,1.72
59,1.14
107,1.42
101,1.42
11,0.04
80,1.06
89,1.08
73,1.12
80,1.3
42,1.3
69,1.38
61,1.38
0,0.16
66,0.86
1,0.24
91,1.4
0,0.08
58,1.16
90,1.44
104,1.04
6,0.26
6,0.06
70,1.14
124,1.26
18,0.06
84,0.9
7,0.26
166,2.72
215,1.38
240,1.14
120,1.32
28,0.18
109,1
49,0.2
131,0.72
21,0.2
121,1.4
175,2.94
70,1.14
1040,7.68
196,1.26
350,1.28
57,0.08
282,1.14
832,2.86
419,1.3
451,1.26
627,1.28
511,1.24
311,1.32
1172,4.26
1132,2.88
1503,4.52
485,2.12
79,0.28
56,0.24
373,1.16
1292,2.92
421,1.3
435,1.4
466,1.34
48,0.2
358,1.3
14,0.14
398,1.28
420,1.3
530,1.76
1351,5.9
379,1.04
32,0.24
428,1.24
65,1.64
61,1.14
0,0.22
71,1.3
76,1.3
131,1.34
472,1.02
52,0.24
421,1.36
1432,4.52
56,0.14
245,1.32
539,1.58
326,1.04
437,1.1
414,1.2
57,0.26
451,1.38
374,1.06
37,0.22
323,1.08
53,0.2
365,1.04
82,0.26
48,0.04
394,0.98
65,0.24
404,1.14
319,1.08
390,1.2
480,0.96
