864,-118,-580,-1411,366,-450,-11129,11468,-5930
679,67,-616,-1423,236,-463,-4174,4280,-16280
789,30,-650,-1429,277,-476,-4006,7910,-27118
953,26,-691,-1423,248,-476,7093,-7442,-7845
828,-41,-602,-1429,289,-438,-2756,15029,-6045
852,30,-123,-1441,277,-578,12813,14410,14564
955,133,353,-1234,242,-1004,-5014,8580,-18225
539,538,601,-1022,242,-1163,-3696,-4475,-15666
656,621,507,-1010,177,-1156,5838,1248,9795
397,171,765,-986,135,-1169,4434,26840,32121
-80,178,999,-319,59,-1131,-2798,14329,8002
-500,-146,827,-112,11,-953,-15747,8795,11758
-536,-446,700,0,100,-877,-19963,1166,-945
-560,-815,348,24,218,-845,-14249,-157,-1807
-438,-904,379,24,443,-813,-5557,-19039,-766
-367,-899,246,-76,519,-959,-14670,-8190,3308
-399,-1044,-90,-295,708,-972,-11020,-4586,6599
-129,-920,-409,-295,844,-832,-16421,9371,-18960
387,-736,-678,-549,1033,-400,4916,11656,-18798
709,-626,-255,-903,992,-603,18621,4366,-12394
885,-409,244,-1157,673,-940,17046,6835,-12556
819,151,489,-1081,29,-1144,-1614,-2602,-12174
824,602,448,-933,-24,-1143,-8116,-9206,-16631
246,825,505,-933,-24,-1143,-2325,-5584,-19857
-125,785,495,-898,-77,-1125,-2983,-4074,-11248
-362,599,701,-850,-101,-1118,-20427,-1535,-2601
-606,94,896,-797,47,-1188,4201,-2702,-16742
-313,-14,938,-909,200,-1195,-2679,-7283,-1200
47,-172,883,-1116,313,-1080,-7308,-7448,-5032
395,-258,862,-1317,319,-883,-5371,-8763,3653
484,-438,815,-1388,449,-737,3234,-313,3148
530,-396,731,-1358,531,-699,-645,-10589,-3265
846,-469,270,-1412,508,-451,-279,-14231,2093
821,-486,-70,-1258,537,19,-3220,-10034,6654
821,-529,-191,-1146,525,108,7318,-9711,3490
888,-478,-256,-1016,667,114,3239,-153,-6259
995,-114,43,-1181,632,0,9454,-1463,-10172
924,279,10,-1358,378,-76,-2387,-1216,-8130
740,614,56,-1370,212,-76,-3998,5277,-7184
572,758,203,-1347,-77,-203,-3433,5893,-5673
445,750,403,-1305,-219,-317,-1342,1327,-499
429,581,653,-1329,-184,-546,-10617,-1395,3819
426,220,704,-1335,-83,-648,-11408,-11719,4909
857,-65,504,-1441,53,-502,-14405,-2837,-849
849,-134,322,-1429,17,-457,-8201,408,-123
949,-158,280,-1417,-48,-406,-8775,3978,-3508
695,-103,782,-1400,-71,-527,23594,8727,15246
366,8,890,-1388,118,-731,2505,9873,-2536
-60,87,926,-1288,29,-903,-815,11344,-8668
-349,49,825,-862,-107,-1112,-55,-10663,-12595
59,-316,910,-933,-83,-1106,-10820,-3023,3040
-110,-683,704,-998,289,-1170,-13997,4958,1895
20,-892,424,-939,514,-1138,-12242,216,-6506
344,-915,240,-1093,709,-928,8355,-19205,-16295
646,-726,260,-1376,437,-769,9376,-7539,-5985
747,-540,319,-1447,242,-578,16770,-8017,693
736,-247,466,-1477,206,-438,12055,5229,-11385
641,88,728,-1382,-77,-566,-2921,16232,-10295
-14,-64,966,-1152,-231,-890,-7112,14156,-8535
-404,-497,773,-561,-42,-1176,-13855,12728,-7431
